name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
网虫网吧,102.77861,24.99009,,,,,,,,,,,3,18300
翟记农家菜,102.77904000000001,24.989279999999997,,,,,,,,,,,3,5159
小小饮吧新治村餐厅,102.77841,24.98996,,,,,,,,,,,3,8733
福建沙县特色小吃,102.77853,24.989839999999997,,,,,,,,,,,3,12418
金鹏小吃,102.77882,24.98955,,,,,,,,,,,3,13048
美域,102.77863,24.98949,,,,,,,,,,,3,17629
漫步青云,102.77866999999999,24.98951,,,,,,,,,,,3,19571
伊人醉美容院,102.77861,24.98977,,,,,,,,,,,3,21193
翟记农家菜,102.77904000000001,24.989079999999998,,,,,,,,,,,3,25019
小小饮吧新治村餐厅,102.77841,24.98976,,,,,,,,,,,3,28593
福建沙县特色小吃,102.77853,24.989639999999998,,,,,,,,,,,3,32278
金鹏小吃,102.77882,24.98935,,,,,,,,,,,3,32908
美域,102.77863,24.98929,,,,,,,,,,,3,37489
网虫网吧,102.77861,24.98989,,,,,,,,,,,3,38160
漫步青云,102.77866999999999,24.98931,,,,,,,,,,,3,39431
伊人醉美容院,102.77861,24.98957,,,,,,,,,,,3,41053
红领巾幼儿园,102.779076,24.989201,,,,,,,,,,,3,50924
秀秀农家园,102.77754,24.99115,,,,,,,,,,,3,6231
惠通美味园,102.77753,24.99193,,,,,,,,,,,3,6543
大理白族风味园NO．9,102.77769,24.99106,,,,,,,,,,,3,6761
动漫,102.77781999999999,24.9904,,,,,,,,,,,3,17996
时尚精剪专业形象设计,102.77764,24.991139999999998,,,,,,,,,,,3,20135
同兴堂金龙药房,102.77735799999999,24.991039999999998,,,,,,,,,,,3,23665
秀秀农家园,102.77754,24.99095,,,,,,,,,,,3,26091
惠通美味园,102.77753,24.99173,,,,,,,,,,,3,26403
大理白族风味园NO．9,102.77769,24.99086,,,,,,,,,,,3,26621
时尚精剪专业形象设计,102.77764,24.99094,,,,,,,,,,,3,39995
同兴堂金龙药房,102.77735799999999,24.99084,,,,,,,,,,,3,43525
同乐心药店,102.777987,24.990806,,,,,,,,,,,3,45049
愈康诊所,102.777889,24.990973,,,,,,,,,,,3,45707
悦来招待所,102.77735,24.99077,,,,,,,,,,,3,46307
迎丰宾馆,102.77804,24.99071,,,,,,,,,,,3,47313
新治幼儿园,102.778012,24.991166,,,,,,,,,,,3,50676
动漫,102.77781999999999,24.9902,,,,,,,,,,,3,37856
祥源宾馆,102.77792,24.99021,,,,,,,,,,,3,46268
