name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
王及小吃金江NO．2,102.73982,25.09346,,,,,,,,,,,3,7941
尹赖仕烧烤大师鸡脚王全国连锁NO．1015,102.74082,25.09309,,,,,,,,,,,3,5430
四季园(西二门),102.741505,25.094079,,,,,,,,,,,1,2038
普慈寺,102.741104,25.094134,,,,,,,,,,,1,2360
盘龙区罗丈村社区卫生服站,102.741253,25.093252,,,,,,,,,,,1,2382
兆城大厦,102.74175600000001,25.095177,,,,,,,,,,,1,817
百灵缘,102.74175600000001,25.095226999999998,,,,,,,,,,,1,4495
Venicebar,102.74120400000001,25.094732999999998,,,,,,,,,,,1,4565
兆城大厦,102.74175600000001,25.095377,,,,,,,,,,,1,55109
四季园(西二门),102.741505,25.094279,,,,,,,,,,,1,56330
普慈寺,102.741104,25.094334,,,,,,,,,,,1,56652
盘龙区罗丈村社区卫生服站,102.741253,25.093452,,,,,,,,,,,1,56674
李记成都担担面金江店,102.74002,25.09335,,,,,,,,,,,3,6254
颐桥园铜锅洋芋饭,102.74031,25.09327,,,,,,,,,,,3,7940
礼胜园金江店,102.7404,25.09325,,,,,,,,,,,3,9325
吉祥宵夜,102.74091,25.09306,,,,,,,,,,,3,10625
广吉园文山土鸡米线NO．5,102.74139,25.09289,,,,,,,,,,,3,10684
六婆串串香火锅霖雨店,102.74157,25.09281,,,,,,,,,,,3,12142
重庆鲜面王形象店,102.74129,25.09291,,,,,,,,,,,3,13584
好当家米线快餐店金江店,102.74096,25.09301,,,,,,,,,,,3,15065
颐芝堂养生馆,102.7406,25.09317,,,,,,,,,,,3,18381
Yｅ’发专业美发连锁霖雨店,102.74110999999999,25.09299,,,,,,,,,,,3,19363
欣奕除疤,102.74119,25.09295,,,,,,,,,,,3,21937
金辰社区卫生中心,102.740994,25.092418,,,,,,,,,,,3,23958
云南省第二人民医院金安门诊部,102.740877,25.092465999999998,,,,,,,,,,,3,24001
尹赖仕烧烤大师鸡脚王全国连锁NO．1015,102.74082,25.09289,,,,,,,,,,,3,25290
礼胜园金江店,102.7404,25.09305,,,,,,,,,,,3,29185
吉祥宵夜,102.74091,25.09286,,,,,,,,,,,3,30485
广吉园文山土鸡米线NO．5,102.74139,25.09269,,,,,,,,,,,3,30544
六婆串串香火锅霖雨店,102.74157,25.09261,,,,,,,,,,,3,32002
重庆鲜面王形象店,102.74129,25.09271,,,,,,,,,,,3,33444
好当家米线快餐店金江店,102.74096,25.09281,,,,,,,,,,,3,34925
颐芝堂养生馆,102.7406,25.09297,,,,,,,,,,,3,38241
Yｅ’发专业美发连锁霖雨店,102.74110999999999,25.09279,,,,,,,,,,,3,39223
欣奕除疤,102.74119,25.09275,,,,,,,,,,,3,41797
金辰社区卫生中心,102.740994,25.092218,,,,,,,,,,,3,43818
云南省第二人民医院金安门诊部,102.740877,25.092266,,,,,,,,,,,3,43861
圣爱中医馆,102.739695,25.093593,,,,,,,,,,,3,24056
愉筷国人快餐,102.73931999999999,25.09461,,,,,,,,,,,3,5663
云飞达甜品小站,102.7395,25.095129999999997,,,,,,,,,,,3,6840
啪啪嘶韩国风味西餐厅,102.73881,25.09396,,,,,,,,,,,3,9437
正元面馆金江分店,102.73923,25.09436,,,,,,,,,,,3,9438
汶记新加坡鸡饭,102.73935,25.09469,,,,,,,,,,,3,9439
百味锡都个旧汆肉米线金江店,102.73947,25.09501,,,,,,,,,,,3,10150
思茅老二中鸡脚总店,102.73939,25.094839999999998,,,,,,,,,,,3,10569
香合坊小锅米线连锁机构金江店,102.73926999999999,25.09445,,,,,,,,,,,3,10948
长兴小厨,102.73918,25.09426,,,,,,,,,,,3,12143
春秋美容养生会所金江店,102.73962,25.09539,,,,,,,,,,,3,18424
东骏大药房金江小区连锁店,102.739861,25.094739,,,,,,,,,,,3,23470
愉筷国人快餐,102.73931999999999,25.09441,,,,,,,,,,,3,25523
云飞达甜品小站,102.7395,25.094929999999998,,,,,,,,,,,3,26700
正元面馆金江分店,102.73923,25.094160000000002,,,,,,,,,,,3,29298
汶记新加坡鸡饭,102.73935,25.09449,,,,,,,,,,,3,29299
百味锡都个旧汆肉米线金江店,102.73947,25.09481,,,,,,,,,,,3,30010
思茅老二中鸡脚总店,102.73939,25.09464,,,,,,,,,,,3,30429
香合坊小锅米线连锁机构金江店,102.73926999999999,25.09425,,,,,,,,,,,3,30808
长兴小厨,102.73918,25.09406,,,,,,,,,,,3,32003
春秋美容养生会所金江店,102.73962,25.09519,,,,,,,,,,,3,38284
彩美堂国际SPA养生会所,102.73966,25.09534,,,,,,,,,,,3,38285
秀工场美发沙龙,102.73966,25.09526,,,,,,,,,,,3,41518
东骏大药房金江小区连锁店,102.739861,25.094539,,,,,,,,,,,3,43330
中国农业银行昆明金江支行,102.73971,25.094070000000002,,,,,,,,,,,3,53069
圣爱中医馆,102.739695,25.093393,,,,,,,,,,,3,43916
