name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
昆明市公安局官渡分局星耀路派出所,102.765862,24.952768,,,,,,,,,,,3,33278
桥香园云南过桥米线,102.76675,24.9532,,,,,,,,,,,3,11338
星耀体育中心,102.767992,24.953034,,,,,,,,,,,1,1503
新亚洲·体育城(西门),102.76750899999999,24.952889000000003,,,,,,,,,,,1,1557
格林黛娜国际产后恢复中心,102.76704000000001,24.952939999999998,,,,,,,,,,,3,19315
茶物语,102.76612,24.9535,,,,,,,,,,,3,17650
泰国圣荷丰胸官渡总店,102.7669,24.95277,,,,,,,,,,,3,22504
新亚洲·体育城社区卫生服务中心,102.766375,24.953186,,,,,,,,,,,3,27791
昆明市第一医院星耀医院－急诊,102.766375,24.953186,,,,,,,,,,,3,28891
星都国际总部基地62栋,102.7669,24.95277,,,,,,,,,,,3,31709
茗韵茶楼,102.766838,24.954429,,,,,,,,,,,1,2462
避风塘新亚洲体育城云大附中分店,102.76633000000001,24.95491,,,,,,,,,,,3,7600
避风塘新亚洲体育城云大附中分店,102.76633000000001,24.954710000000002,,,,,,,,,,,3,10910
太阳美食广场,102.76756,24.954639999999998,,,,,,,,,,,3,16999
肯德基星耀路店,102.76762,24.95477,,,,,,,,,,,3,18925
亚城酒店,102.76638,24.954439999999998,,,,,,,,,,,3,30523
平安银行奥特莱斯社区支行,102.76718000000001,24.95435,,,,,,,,,,,3,37145
交通银行ATM,102.76656,24.953770000000002,,,,,,,,,,,3,37340
中国农业银行彩云分理处,102.76623000000001,24.9531,,,,,,,,,,,3,37359
致远口腔诊所,102.764825,24.951999999999998,,,,,,,,,,,3,25900
中国建设银行ATM,102.76544,24.95243,,,,,,,,,,,3,36948
上海浦东发展银行ATM,102.76465999999999,24.95241,,,,,,,,,,,3,37479
中国邮政储蓄银行ATM,102.76575,24.95269,,,,,,,,,,,3,37282
