name,longitude,latitude,phone,address,district,city,area,zipcodetype,datatype,date,creator,source,index
欢欢足疗,102.75705,24.95415,,,,,,,,,,,3,26815
饭粒香,102.75596,24.95453,,,,,,,,,,,3,18096
成都老火锅,102.75612,24.953129999999998,,,,,,,,,,,3,7521
芸萍轩餐厅,102.75623,24.95376,,,,,,,,,,,3,7550
川味农家饭店,102.75764000000001,24.95311,,,,,,,,,,,3,5949
兄弟饭店,102.75713,24.953229999999998,,,,,,,,,,,3,7095
弘祥烧烤,102.75709,24.95341,,,,,,,,,,,3,7107
贵州特色烧烤,102.75679000000001,24.95297,,,,,,,,,,,3,8045
川味农家饭店,102.75764000000001,24.95291,,,,,,,,,,,3,13396
兄弟饭店,102.75713,24.95303,,,,,,,,,,,3,14542
弘祥烧烤,102.75709,24.953210000000002,,,,,,,,,,,3,14554
贵州特色烧烤,102.75679000000001,24.95277,,,,,,,,,,,3,15492
火龙坝牛肉面,102.75688000000001,24.9526,,,,,,,,,,,3,21347
腾佳网吧,102.75718,24.953429999999997,,,,,,,,,,,3,25148
御足轩,102.75683000000001,24.95301,,,,,,,,,,,3,25562
紫薇沐足,102.75695,24.95375,,,,,,,,,,,3,26126
德康诊所,102.756672,24.952921,,,,,,,,,,,3,33351
文福诊所,102.757474,24.952761,,,,,,,,,,,3,33485
庆盈宾馆,102.75777,24.95368,,,,,,,,,,,3,33768
凤华招待所,102.75709,24.953000000000003,,,,,,,,,,,3,33769
兴安旅社,102.75672,24.95293,,,,,,,,,,,3,33922
梦都宾馆,102.75701,24.95293,,,,,,,,,,,3,33934
锦天宾馆,102.75684,24.9528,,,,,,,,,,,3,34863
荣丰公寓,102.75678,24.95301,,,,,,,,,,,3,34987
涛涛旅馆,102.7571,24.95249,,,,,,,,,,,3,35036
天园鱼庄,102.75598000000001,24.95328,,,,,,,,,,,3,11499
建水兄弟鸡脚王烧烤NO．3,102.75648000000001,24.9533,,,,,,,,,,,3,11602
成都老火锅,102.75612,24.95293,,,,,,,,,,,3,14968
芸萍轩餐厅,102.75623,24.95356,,,,,,,,,,,3,14997
天园鱼庄,102.75598000000001,24.95308,,,,,,,,,,,3,18946
建水兄弟鸡脚王烧烤NO．3,102.75648000000001,24.9531,,,,,,,,,,,3,19049
乐酷量贩KTV,102.75632,24.9533,,,,,,,,,,,3,24593
艺佰歌舞厅,102.75628,24.95337,,,,,,,,,,,3,26128
昌龙娱乐KTV,102.7565,24.95373,,,,,,,,,,,3,29301
阿里木侠义巴郎烤肉,102.75594,24.95553,,,,,,,,,,,3,6516
洪闸官渡姐妹园古镇店,102.7557,24.95546,,,,,,,,,,,3,6842
古镇状元清真风味餐厅,102.75591,24.955589999999997,,,,,,,,,,,3,8726
弥勒溢香源三锅羊,102.75612,24.95486,,,,,,,,,,,3,9672
饭粒香,102.75596,24.954729999999998,,,,,,,,,,,3,10649
唛淇啉,102.75514,24.95557,,,,,,,,,,,3,11603
阿里木侠义巴郎烤肉,102.75594,24.95533,,,,,,,,,,,3,13963
洪闸官渡姐妹园古镇店,102.7557,24.95526,,,,,,,,,,,3,14289
古镇状元清真风味餐厅,102.75591,24.955389999999998,,,,,,,,,,,3,16173
弥勒溢香源三锅羊,102.75612,24.95466,,,,,,,,,,,3,17119
精彩官渡民间小吃,102.75586,24.955029999999997,,,,,,,,,,,3,22135
留焕小吃,102.75563000000001,24.95533,,,,,,,,,,,3,22717
自由空间,102.75648000000001,24.9551,,,,,,,,,,,3,24056
岁月时光酒吧,102.75636,24.955070000000003,,,,,,,,,,,3,25519
吊脚椅酒吧,102.75632,24.95505,,,,,,,,,,,3,26814
至诚国医堂,102.756217,24.955289999999998,,,,,,,,,,,3,31616
天寿中医馆,102.755388,24.95526,,,,,,,,,,,3,31675
土主庙,102.75644399999999,24.955841,,,,,,,,,,,3,35682
法定寺,102.75617,24.956211,,,,,,,,,,,3,35749
云南小八碗,102.75601,24.95457,,,,,,,,,,,3,22136
和杏精品餐厅,102.75643000000001,24.95429,,,,,,,,,,,3,22289
金江彼岸温泉会所,102.75698,24.95475,,,,,,,,,,,3,29546
凤仪宾馆,102.75707,24.95417,,,,,,,,,,,3,34308
